HDI_rank,Country,HDI,life_exp,school_exp,GNI,GNI_min_HDI
125,EL SALVADOR,675,70.7,12.7,8296,-8
126,NICARAGUA,667,73.8,12.6,5625,6
127,BHUTAN,666,71.8,13.2,9438,-15
128,CABO VERDE,662,74.1,12.6,6230,2
129,BANGLADESH,661,72.4,12.4,5472,4
130,TUVALU,641,64.5,9.4,6351,-2
131,MARSHALL ISLANDS,639,65.3,10.2,4620,12
132,INDIA,633,67.2,11.9,659,-6
133,GHANA,632,63.8,12.0,5745,-2
134,MICRONESIA ,628,70.7,11.5,3696,22
135,GUATEMALA,627,69.2,10.6,8723,-20
136,KIRIBATI,624,67.4,11.8,4063,14
137,HONDURAS,621,70.1,10.1,5298,-1
138,SAO TOME AND PRINCIPE,618,67.6,13.4,4021,13
139,NAMIBIA,615,59.3,11.9,8634,-23
140,LAO PEOPLE'S DEMOCRATIC REPUBLIC,607,68.1,10.1,7700,-18
140,TIMOR-LESTE,607,67.7,12.6,4461,7
140,VANUATU,607,70.4,11.5,3085,23
143,NEPAL,602,68.4,12.9,3877,10
144,ESWATINI ,597,57.1,13.7,7679,-21
145,EQUATORIAL GUINEA,596,60.6,9.7,12074,-47
146,CAMBODIA,593,69.6,11.5,4079,3
146,ZIMBABWE,593,59.3,12.1,3810,9
148,ANGOLA,586,61.6,12.2,5466,-14
149,MYANMAR,585,65.7,10.9,3851,5
150,SYRIAN ARAB REPUBLIC,577,72.1,9.2,4192,-2
151,CAMEROON,576,60.3,13.1,3621,6
152,KENYA,575,61.4,10.7,4474,-6
153,CONGO,571,63.5,12.3,2889,11
154,ZAMBIA,565,61.2,10.9,3218,7
155,SOLOMON ISLANDS,564,70.3,10.3,2482,13
156,COMOROS,558,63.4,11.9,3142,6
156,PAPUA NEW GUINEA,558,65.4,10.4,4009,-4
158,MAURITANIA,556,64.4,9.4,5075,-20
159,COTE D'IVOIRE,550,58.6,10.7,5217,-22
160,TANZANIA ,549,66.2,9.2,2664,7
161,PAKISTAN,544,66.1,8.7,4624,-19
162,TOGO,539,61.6,13.0,2167,12
163,HAITI,535,63.2,9.7,2848,2
163,NIGERIA,535,52.7,10.1,4790,-22
165,RWANDA,534,66.1,11.2,2210,6
166,BENIN,525,59.8,10.8,3409,-7
166,UGANDA,525,62.7,10.1,2181,6
168,LESOTHO,514,53.1,12.0,2700,-2
169,MALAWI,512,62.9,12.7,1466,13
170,SENEGAL,511,67.1,9.0,3344,-10
171,DJIBOUTI,509,62.3,7.4,5025,-32
172,SUDAN,508,65.3,7.9,3575,-14
173,MADAGASCAR,501,64.5,10.1,1484,8
174,GAMBIA,500,62.1,9.4,2172,-1
175,ETHIOPIA,498,65.0,9.7,2361,-5
176,ERITREA,492,66.5,8.1,1729,3
177,GUINEA-BISSAU,483,59.7,10.6,1908,0
178,LIBERIA,481,60.7,10.4,1289,7
179,CONGO ,479,59.2,9.8,1076,9
180,AFGHANISTAN,478,62.0,10.3,1824,-2
181,SIERRA LEONE,477,60.1,9.6,1622,-1
182,GUINEA,465,58.9,9.8,2481,-13
183,YEMEN,455,63.8,9.1,1314,1
184,BURKINA FASO,449,59.3,9.1,2118,-8
185,MOZAMBIQUE,446,59.3,10.2,1198,2
186,MALI,428,58.9,7.4,2133,-11
187,BURUNDI,426,61.7,10.7,732,4
188,CENTRAL AFRICAN REPUBLIC,404,53.9,8.0,966,1
189,NIGER,400,61.6,7.0,1240,-3
190,CHAD,394,52.5,8.0,1364,-7
191,SOUTH SUDAN,385,55.0,5.5,768,-1
